Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uf/16V,
"C2, C4, C5",0805,3,10uf,
"C3, C6, C7",0805,3,0.1uf,
"CH1, CH2, CH3, CH4, CH5, CH6, CH7, CH8",TerminalBlock_Altech_AK300-3_P5.00mm,8,Screw_Terminal_01x03,
"D1, D2, D3",0805,3,LED RED,
D4,D_SOD-123,1,1N5819HW-7-F,
D5,0805,1,LED GREEN,
"H1, H2, H3, H4",MountingHole_3mm,4,MountingHole,
J1,USB_Micro-B_XKB_U254-051T-4BH83-F1S,1,USB_B_Micro,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J3,PinHeader_1x14_P2.54mm_Vertical,1,Conn_01x14_Pin,
"R1, R2, R3",0805,3,270,
R4,0805,1,10K,
R5,0805,1,5k1,
"SW1, SW2",SW_SPST_TL3305A,2,SW_Push,
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U2,SOIC16_TOS,1,74HC4051,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
V_IN1,TerminalBlock_Altech_AK300-2_P5.00mm,1,5V,
